Timestamp,SenderId,DestinationId,InteractionType,RequestType,TransactionNumber,BodyLength,Checksum

1743746400,3,0,1,1,1,0,64974
1743746400,0,3,2,0,1,0,64974
1743746401,3,0,1,2,2,13797,64707
1743746402,0,3,1,3,1,2,64968
1743746402,3,0,0,0,3,10,64852
1743746402,0,3,2,0,3,0,64970
1743746403,3,0,0,0,4,10,64849
1743746403,0,3,2,0,4,0,64968
1743746404,3,0,0,0,5,10,64846
1743746404,0,3,2,0,5,0,64966
1743747670,3,0,1,1,1,0,64979
1743747670,0,3,2,0,1,0,64979
1743747672,3,0,1,2,2,5845,10342
1743747672,0,3,1,3,1,2,64973
1743747673,3,0,0,0,3,10,64863
1743747673,0,3,2,0,3,0,64974
1743747674,3,0,0,0,4,10,64860
1743747674,0,3,2,0,4,0,64972
1743747675,3,0,0,0,5,10,64857
1743747675,0,3,2,0,5,0,64970
1743747733,3,0,1,1,1,0,64916
1743747733,0,3,2,0,1,0,64916
1743747734,3,0,1,2,2,8815,3257
1743747734,0,3,1,3,1,2,64910
1743747735,3,0,0,0,3,10,64790
1743747735,0,3,2,0,3,0,64912
1743747736,3,0,0,0,4,10,64789
1743747736,0,3,2,0,4,0,64910
1743747737,3,0,0,0,5,10,64788
1743747737,0,3,2,0,5,0,64908
1743747738,3,0,0,0,6,10,64787
1743747738,0,3,2,0,6,0,64906
1743747739,3,0,0,0,7,10,64786
1743747739,0,3,2,0,7,0,64904
1743747740,3,0,0,0,8,10,64785
1743747740,0,3,2,0,8,0,64902
1743747741,3,0,0,0,9,10,64784
1743747741,0,3,2,0,9,0,64900
1743747804,3,0,1,1,1,0,64845
1743747804,0,3,2,0,1,0,64845
1743747805,3,0,1,2,2,24787,64789
1743747805,0,3,1,3,1,2,64839
1743747806,3,0,0,0,3,10,64730
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747807,3,0,0,0,4,10,64729
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747808,3,0,0,0,5,10,64728
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747809,3,0,0,0,6,10,64727
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747810,3,0,0,0,7,10,64726
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747811,3,0,0,0,8,10,64725
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747812,3,0,0,0,9,10,64724
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
1743747813,3,0,0,0,10,10,64723
3452816845,3452816845,3452816845,205,205,3452816845,52685,52685
